"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","48.9","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","47.6","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","49.8","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","50.3","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","51.8","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","51.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","51.1","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","51.7","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","50.6","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","50.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","49.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","49.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","47.8","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","49.1","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Employment rate","Females","15 years and over","Percentage","242","units","0","v1063542772","2.10.3.1","50.5","","","","1"
"1990","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","14.4","","","","1"
"1991","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","16.5","","","","1"
"1992","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","17.6","","","","1"
"1993","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","16.9","","","","1"
"1994","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","16.5","","","","1"
"1995","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","14.8","","","","1"
"1996","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","14.6","","","","1"
"1997","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","15.3","","","","1"
"1998","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","13.9","","","","1"
"1999","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","14.3","","","","1"
"2000","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","12.0","","","","1"
"2001","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.9","","","","1"
"2002","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.9","","","","1"
"2003","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.9","","","","1"
"2004","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.2","","","","1"
"2005","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.9","","","","1"
"2006","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.5","","","","1"
"2007","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.6","","","","1"
"2008","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.2","","","","1"
"2009","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","12.0","","","","1"
"2010","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.5","","","","1"
"2011","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.3","","","","1"
"2012","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.3","","","","1"
"2013","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","11.6","","","","1"
"2014","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.7","","","","1"
"2015","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.6","","","","1"
"2016","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.6","","","","1"
"2017","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","9.9","","","","1"
"2018","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","9.8","","","","1"
"2019","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","8.9","","","","1"
"2020","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","10.5","","","","1"
"2021","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","9.7","","","","1"
"2022","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543388","3.8.1.1","7.6","","","","1"
"1990","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","14.0","","","","1"
"1991","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","17.1","","","","1"
"1992","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","18.5","","","","1"
"1993","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","17.3","","","","1"
"1994","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","17.3","","","","1"
"1995","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","16.3","","","","1"
"1996","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","14.4","","","","1"
"1997","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","16.5","","","","1"
"1998","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","14.6","","","","1"
"1999","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","14.6","","","","1"
"2000","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","13.2","","","","1"
"2001","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.4","","","","1"
"2002","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.9","","","","1"
"2003","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","11.8","","","","1"
"2004","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","11.9","","","","1"
"2005","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.7","","","","1"
"2006","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","13.4","","","","1"
"2007","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","11.5","","","","1"
"2008","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.4","","","","1"
"2009","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","13.6","","","","1"
"2010","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","13.4","","","","1"
"2011","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.7","","","","1"
"2012","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.6","","","","1"
"2013","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","13.6","","","","1"
"2014","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.4","","","","1"
"2015","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.0","","","","1"
"2016","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","12.4","","","","1"
"2017","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","11.3","","","","1"
"2018","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","11.1","","","","1"
